"","name","partito","s_office","e_office"
"169","CENTEMERO GIULIO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"170","CESTARI EMANUELE","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"171","CHIAZZESE GIUSEPPE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"172","CIABURRO MONICA","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"173","CIAGA' GRAZIELLA LEYLA","PARTITO DEMOCRATICO (14.04.2021)","20210414",NA
"174","CIAMPI LUCIA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"175","CILLIS LUCIANO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"176","CIMINO ROSALBA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"177","CIPRINI TIZIANA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"178","CIRIELLI EDMONDO","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"179","COIN DIMITRI","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"180","COLANINNO MATTEO","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"181","COLANINNO MATTEO","ITALIA VIVA (19.09.2019)","20190919",NA
"182","COLLA JARI","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"183","COLLETTI ANDREA","MOVIMENTO 5 STELLE (27.03.2018-19.02.2021)","20180327","20210219"
"184","COLLETTI ANDREA","MISTO (19.02.2021)","20210219",NA
"185","COLMELLERE ANGELA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"186","COLUCCI ALESSANDRO","MISTO (27.03.2018)","20180327",NA
"187","COMAROLI SILVANA ANDREINA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"188","COMENCINI VITO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"189","COMINARDI CLAUDIO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"190","CONTE FEDERICO","MISTO (27.03.2018-10.04.2018)","20180327","20180410"
"191","CONTE FEDERICO","LIBERI E UGUALI (10.04.2018)","20180410",NA
